rating,school,X,Y,PASSED_NUMBER_FULL,PASSES_OVER_220,PASSES_OVER_160
31,ГБПОУ 1-Й МОК,37.4818,55.713181,40,8,30
31,ГБПОУ 1-Й МОК,37.537704,55.689229,40,8,30
31,ГБПОУ 1-Й МОК,37.745255,55.682286,40,8,30
31,ГБПОУ 1-Й МОК,37.569546,55.511573,40,8,30
100,ГКОУ КШИ № 1,37.4818,55.713181,40,8,30
100,ГКОУ КШИ № 1,37.537704,55.689229,40,8,30
100,ГКОУ КШИ № 1,37.745255,55.682286,40,8,30
100,ГКОУ КШИ № 1,37.569546,55.511573,40,8,30
149,ГБОУ ШОР № 1,37.4818,55.713181,40,8,30
149,ГБОУ ШОР № 1,37.537704,55.689229,40,8,30
149,ГБОУ ШОР № 1,37.745255,55.682286,40,8,30
149,ГБОУ ШОР № 1,37.569546,55.511573,40,8,30
28,ГБПОУ КМБ № 4,37.570968,55.682217,70,0,0
28,ГБПОУ КМБ № 4,37.570521,55.510197,70,0,0
28,ГБПОУ КМБ № 4,37.368897,55.517618,70,0,0
28,ГБПОУ КМБ № 4,37.56112,55.757587,70,0,0
135,ГАПОУ КП № 11,37.539442,55.688224,44,5,10
135,ГАПОУ КП № 11,37.539442,55.688224,20,3,16
126,ГБОУ ШКОЛА № 15,37.559724,55.652235,115,46,94
108,ГБОУ ШКОЛА № 17,37.532198,55.636499,9,0,2
108,ГБОУ ШКОЛА № 17,37.532198,55.636499,198,59,128
282,ГБПОУ КАИТ № 20,37.515137,55.64235,117,0,11
186,ГБПОУ 26 КАДР,37.551367,55.695813,112,2,7
186,ГБПОУ 26 КАДР,37.545005,55.691576,112,2,7
186,ГБПОУ 26 КАДР,37.550352,55.694413,112,2,7
235,ГБОУ ШКОЛА № 41,37.294653,55.614268,109,17,55
235,ГБОУ ШКОЛА № 41,37.294653,55.614268,56,4,20
235,ГБОУ ШКОЛА № 41,37.214527,55.621377,109,17,55
235,ГБОУ ШКОЛА № 41,37.214527,55.621377,56,4,20
235,ГБОУ ШКОЛА № 41,37.298891,55.616116,109,17,55
235,ГБОУ ШКОЛА № 41,37.298891,55.616116,56,4,20
235,ГБОУ ШКОЛА № 41,37.299363,55.608456,109,17,55
235,ГБОУ ШКОЛА № 41,37.299363,55.608456,56,4,20
90,ГБОУ ГИМНАЗИЯ № 45,37.560259,55.723941,218,66,120
90,ГБОУ ГИМНАЗИЯ № 45,37.58267,55.688575,218,66,120
90,ГБОУ ГИМНАЗИЯ № 45,37.579678,55.691641,218,66,120
90,ГБОУ ГИМНАЗИЯ № 45,37.579726,55.691,218,66,120
248,ГБОУ ШКОЛА № 49,37.535585,55.645685,273,33,82
248,ГБОУ ШКОЛА № 49,37.534049,55.643653,273,33,82
145,ГБОУ ШКОЛА № 138,37.463517,55.779345,165,18,63
145,ГБОУ ШКОЛА № 138,37.466639,55.779613,165,18,63
145,ГБОУ ШКОЛА № 138,37.466423,55.782289,165,18,63
145,ГБОУ ШКОЛА № 138,37.467193,55.780813,165,18,63
145,ГБОУ ШКОЛА № 138,37.464521,55.781287,165,18,63
22,ГБОУ ШКОЛА № 171,37.575102,55.719412,233,107,163
22,ГБОУ ШКОЛА № 171,37.579394,55.722265,233,107,163
249,ГБОУ ШКОЛА № 185,37.535393,55.836734,63,11,32
40,ГБОУ ШКОЛА № 192,37.572533,55.706797,123,49,97
40,ГБОУ ШКОЛА № 192,37.574765,55.706791,123,49,97
119,ГБОУ ШКОЛА № 199,37.565868,55.692333,112,44,82
119,ГБОУ ШКОЛА № 199,37.571564,55.690156,112,44,82
146,ГБОУ ШКОЛА № 236,37.522942,55.884233,117,20,54
216,ГБОУ ШКОЛА № 283,37.67093,55.889394,213,31,85
209,ГБОУ ШКОЛА № 285,37.623911,55.876686,182,16,50
284,ГБОУ ШКОЛА № 315,37.674832,55.783126,98,46,74
284,ГБОУ ШКОЛА № 315,37.674636,55.782674,98,46,74
155,ГБОУ ШКОЛА № 354 ИМ. Д.М. КАРБЫШЕВА,37.677963,55.769389,99,35,72
155,ГБОУ ШКОЛА № 354 ИМ. Д.М. КАРБЫШЕВА,37.67709,55.76945,99,35,72
155,ГБОУ ШКОЛА № 354 ИМ. Д.М. КАРБЫШЕВА,37.676817,55.769368,99,35,72
155,ГБОУ ШКОЛА № 354 ИМ. Д.М. КАРБЫШЕВА,37.668105,55.769138,99,35,72
169,ГБОУ ШКОЛА № 498,37.652045,55.737766,102,34,81
228,ГБОУ ШКОЛА № 507,37.653728,55.668738,133,31,61
228,ГБОУ ШКОЛА № 507,37.651026,55.668254,133,31,61
228,ГБОУ ШКОЛА № 507,37.651617,55.669172,133,31,61
